Variable / Field Name,Section Header,Form Name,Form Display Name,Form Note,Field Type,multipleChoice,Field Label,"Choices, Calculations, OR Slider Labels",minVal,maxVal,Branching Logic (Show field only if...),schedule
prequestion1,Pre-questionnaire:,pre_questionnaire,Pre-Questionnaire,Pre-assessment questions,radio,,What is your gender?,"1, male, 1F64B-200D-2642-FE0F | 2, female, 1F64B-200D-2640-FE0F",,,,pre_questionnaire
prequestion2,Pre-questionnaire:,pre_questionnaire,Pre-Questionnaire,Pre-assessment questions,radio,,Do you have a social media account?,"0, No, 1F645 | 1, Yes, 1F64B",,,,pre_questionnaire
prequestion2a,Pre-questionnaire:,pre_questionnaire,Pre-Questionnaire,Pre-assessment questions,radio,1,What social media accounts do you use?,"1, Twitter, E040 | 2, Instagram, E043 | 3, Facebook, E042 | 4, Snapchat, 1F47B | 5, other, 2754",,,[prequestion2] = 1,pre_questionnaire
Morning1,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,time,,About what time did you go to bed last night (regardless of the time you actually fell asleep)?,,,,,morning_questions
Morning2,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,time,,"What time did you turn off the lights (including TV, phone, tablets)?",,,,,morning_questions
Morning3,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,time,,What time did you close your eyes to try to go to sleep?,,,,,morning_questions
Morning4,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,How long did it take you to fall asleep?,"1, less than 5 minutes | 2, 5 minutes | 3, 10 minutes | 4, 15 minutes | 5, 20 minutes | 6, 30 minutes | 7, 40 minutes | 8, 50 minutes | 9, 1 hour | 10, 1 hour 15 minutes | 11, 1 hour 30 minutes | 12, 1 hour 45 minutes | 13, 2 hours | 14, more than 2 hours",,,,morning_questions
Morning5,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,"How many times did you wake up in the night, not counting your final awakening?","1, none, 1F634 |2, once, 1F62A | 3, twice, 1F61F | 4, 3 or more times, 1F644",,,,morning_questions
Morning6,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,time,,What time did you wake up this morning?,,,,,morning_questions
Morning7,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,time,,What time did you get out of bed for the day?,,,,,morning_questions
Morning8,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,About how many hours did you actually sleep?,"1, less than 30 minutes | 2, 30 minutes | 3, 1 hour | 4, 1.5 hours | 5, 2 hours | 6, 2.5 hours | 7, 3 hours | 8, 3.5 hours | 9, 4 hours | 10, 4.5 hours | 11, 5 hours | 12, 5.5 hours | 13, 6 hours | 14, 6.5 hours | 15, 7 hours | 16, 7.5 hours | 17, 8 hours | 18, 8.5 hours | 19, 9 hours | 20, 9.5 hours | 21, 10 hours | 22, 10.5 hours | 23, 11 hours | 24, 11.5 hours | 25, 12 hours | 26, 12.5 hours | 27, 13 hours | 28, 13.5 hours | 29, 14 hours | 30, 14.5 hours | 31, 15 hours | 32, 15.5 hours | 33, 16 hours | 34, more than 16 hours ",,,,morning_questions
Morning9,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,How would you rate the quality of your sleep?,"1, 1, 2639 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F634",very poor,very good,,morning_questions
Morning10,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,How refreshed did you feel when you woke up?,"1, 1, E280 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F600",not at all refreshed,fully refreshed,,morning_questions
Morning11,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,Which (if any) of the following sleep problems did you have last night?,"1, difficulty falling asleep, 1F612  | 2, awakening during the night, 1F440 | 3, awakening too early, 1F644 | 4, feeling unrefreshed or unrestored despite enough hours of sleep, 1F971 | 5, nightmares, 1F9DB | 6, sleep walking, 1F6B6  | 7, other sleep problem, 2753 | 8, no sleep problem, 263A",,,,morning_questions
Morning11a,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,Were the sleep problems due to:,"1, noise or other disturbances, 1F442 | 2, pain, 1F4A2 | 3, worry, 1F627 | 4, other thoughts, 1F4AD | 5, other reason, 2754",,,[Morning11].includes(1) or [Morning11].includes(2) or [Morning11].includes(3) or [Morning11].includes(4) or [Morning11].includes(5) or [Morning11].includes(6) or [Morning11].includes(7) ,morning_questions
Morning12,Sleep:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,Did you take sleeping pills or anything else to help you sleep last night?,"0, No, 274C | 1, Yes, 1F48A",,,,morning_questions
Internet_mn1,Internet & Social Media:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,Were you using your social media accounts after bedtime?,"0, No, 274C | 1, Yes, 1F933",,,,morning_questions
Internet_mn2,Internet & Social Media:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,Did your use of social media impact your ability to fall asleep last night,"0, No, 1F634  | 1, Yes, 1F644",,,,morning_questions
Context1,Context:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,Have you taken your activity monitor off since your last assessment?,"0, No, 1F645 | 1, Yes, E1CE",,,,all_day_questions
Context1a,Context:,morning_set,EMA Assessment (Morning),A morning questionnaire,timeRange,,When did you take it off and put it back on?,,,,[Context1] = 1,all_day_questions
Context2,Context:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,Where are you right now?,"1, In my home, 1F3E0| 2, in home of relative or friend, 1F3E0 | 3, at work or in class, 1F3EB | 4, in a restaurant/café/bar, E200 | 5, in a store or shop, 1F3EA | 6, in the gym or fitness center, 1F3CB | 7, in a hospital or doctor’s office, 1F3E5 | 8, in a vehicle (car/bus/etc.), 1F690 | 9, in a public building, 1F3EC | 10, in a park or garden, 1F333 | 11, other place inside, 1F6AA  | 12, other place outside, 1F324",,,,all_day_questions
Context3,Context:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,Which places have you been since you woke up?,"1, In my home, 1F3E0| 2, in home of relative or friend, 1F3E0 | 3, at work or in class, 1F3EB | 4, in a restaurant/café/bar, E200 | 5, in a store or shop, 1F3EA | 6, in the gym or fitness center, 1F3CB | 7, in a hospital or doctor’s office, 1F3E5 | 8, in a vehicle (car/bus/etc.), 1F690 | 9, in a public building, 1F3EC | 10, in a park or garden, 1F333 | 11, other place inside, 1F6AA  | 12, other place outside, 1F324",,,,all_day_questions
Context4,Context:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,Who is with you at this moment?,"1, no one, 1F9D1| 2, family member, 1F46A | 3, partner/boyfriend/girlfriend, 1F49C | 4, friend, 1F46C | 5, colleague or classmate, 1F469-200D-1F4BC | 6, stranger, 1F464 | 7, a pet, 1F43E | 8, other, 2754",,,,all_day_questions
Context5,Context:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,Who have you been with since you woke up?,"1, no one, 1F9D1| 2, family member, 1F46A | 3, partner/boyfriend/girlfriend, 1F49C | 4, friend, 1F46C | 5, colleague or classmate, 1F469-200D-1F4BC | 6, stranger, 1F464 | 7, a pet, 1F43E | 8, other, 2754",,,,all_day_questions
Context6,Context:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,What are you doing at this moment?,"1, nothing or waiting, 1F646-200D-2642-FE0F | 2, napping/resting, 1F6CF | 3, eating, 1F60B | 4, household chores, 1F9F9 | 5, working (paid or volunteer), 1F558 | 6, homework, 1F4DD | 7, shopping, 1F6D2 | 8, personal hygiene care, 1F9FC | 9, physical leisure or sports, 26F9 | 10, personal exercise, 1F3C3 | 11, walking the dog, E182 | 12, traveling or commuting, 1F689 | 13, watching tv, 1F4FA | 14, reading, 1F4D6 | 15, listening to music, 1F3A7 | 16, using a computer/electronic device, E1CC | 17, talking on the phone, 1F4DE | 18, talking in person, 1F5E3 | 19, texting by phone, E24A | 20, other nonphysical leisure, 1F60C | 21, other activity, 2754",,,,all_day_questions
Context7,Context:,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,Which of these activities have you done since you woke up?,"1, nothing or waiting, 1F646-200D-2642-FE0F | 2, napping/resting, 1F6CF | 3, eating, 1F60B | 4, household chores, 1F9F9 | 5, working (paid or volunteer), 1F558 | 6, homework, 1F4DD | 7, shopping, 1F6D2 | 8, personal hygiene care, 1F9FC | 9, physical leisure or sports, 26F9 | 10, personal exercise, 1F3C3 | 11, walking the dog, E182 | 12, traveling or commuting, 1F689 | 13, watching tv, 1F4FA | 14, reading, 1F4D6 | 15, listening to music, 1F3A7 | 16, using a computer/electronic device, E1CC | 17, talking on the phone, 1F4DE | 18, talking in person, 1F5E3 | 19, texting by phone, E24A | 20, other nonphysical leisure, 1F60C | 21, other activity, 2754",,,,all_day_questions
